,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY
78,3/2/2022,22100935,2021,1610612745,127,0.5,0.667,0.412,27,34,1610612762,132,0.549,0.708,0.357,32,49,0,Rockets,Mike D'Antoni,Jazz,Quin Snyder
79,3/2/2022,22100936,2021,1610612749,120,0.451,0.889,0.389,22,52,1610612748,119,0.454,0.833,0.477,28,48,1,Bucks,Mike Budenholzer,Heat,Erik Spoelstra
80,3/2/2022,22100937,2021,1610612740,125,0.591,0.833,0.379,30,50,1610612758,95,0.393,0.68,0.229,20,38,1,Pelicans,Alvin Gentry,Kings,Luke Walton
81,3/2/2022,22100938,2021,1610612743,107,0.444,0.882,0.261,25,47,1610612760,119,0.506,0.714,0.552,24,50,0,Nuggets,Michael Malone,Thunder,Billy Donovan
82,3/2/2022,22100939,2021,1610612756,120,0.5,0.839,0.389,32,46,1610612757,90,0.385,0.76,0.355,22,35,1,Suns,Monty Williams,Trail Blazers,Terry Stotts
83,3/1/2022,22100926,2021,1610612764,116,0.5,0.808,0.5,29,42,1610612765,113,0.478,0.826,0.296,23,43,1,Wizards,Scott Brooks,Pistons,Dwane Casey
84,3/1/2022,22100927,2021,1610612738,107,0.47,0.947,0.314,27,47,1610612737,98,0.434,0.792,0.226,15,37,1,Celtics,Brad Stevens,Hawks,Lloyd Pierce
85,3/1/2022,22100928,2021,1610612761,109,0.456,0.87,0.304,27,48,1610612751,108,0.5,0.737,0.4,21,37,1,Raptors,Nick Nurse,Nets,Kenny Atkinson
86,3/1/2022,22100929,2021,1610612745,100,0.396,0.647,0.333,21,45,1610612746,113,0.438,0.941,0.419,24,55,0,Rockets,Mike D'Antoni,Clippers,Doc Rivers
87,3/1/2022,22100930,2021,1610612750,129,0.528,0.826,0.4,27,42,1610612744,114,0.456,0.864,0.289,26,40,1,Timberwolves,Ryan Saunders,Warriors,Steve Kerr
88,3/1/2022,22100931,2021,1610612747,104,0.451,0.8,0.412,22,37,1610612742,109,0.5,0.63,0.286,24,45,0,Lakers,Frank Vogel,Mavericks,Rick Carlisle
89,2/28/2022,22100920,2021,1610612739,122,0.527,0.853,0.405,29,38,1610612750,127,0.547,0.789,0.429,30,31,0,Cavaliers,John Beilein,Timberwolves,Ryan Saunders
90,2/28/2022,22100921,2021,1610612753,119,0.469,0.773,0.324,29,39,1610612754,103,0.486,0.72,0.417,22,39,1,Magic,Steve Clifford,Pacers,Nate McMillan
91,2/28/2022,22100726,2021,1610612751,97,0.384,0.792,0.343,23,45,1610612761,133,0.515,0.591,0.474,35,47,0,Nets,Kenny Atkinson,Raptors,Nick Nurse
92,2/28/2022,22100922,2021,1610612748,112,0.494,0.769,0.387,28,39,1610612741,99,0.488,0.667,0.241,23,38,1,Heat,Erik Spoelstra,Bulls,Jim Boylen
93,2/28/2022,22100923,2021,1610612763,118,0.539,0.579,0.423,24,55,1610612759,105,0.414,0.737,0.281,30,38,1,Grizzlies,Taylor Jenkins,Spurs,Gregg Popovich
94,2/28/2022,22100924,2021,1610612749,130,0.44,0.865,0.4,25,62,1610612766,106,0.387,0.625,0.359,22,40,1,Bucks,Mike Budenholzer,Hornets,James Borrego
95,2/28/2022,22100925,2021,1610612760,110,0.465,0.704,0.314,28,38,1610612758,131,0.563,0.767,0.323,30,46,0,Thunder,Billy Donovan,Kings,Luke Walton
96,2/27/2022,22100912,2021,1610612752,109,0.447,0.629,0.333,21,47,1610612755,125,0.487,0.886,0.303,28,43,0,Knicks,David Fizdale,76ers,Brett Brown
97,2/27/2022,22100913,2021,1610612756,114,0.512,0.813,0.464,24,36,1610612762,118,0.468,0.65,0.425,23,41,0,Suns,Monty Williams,Jazz,Quin Snyder
98,2/27/2022,22100914,2021,1610612754,128,0.522,0.85,0.515,25,49,1610612738,107,0.429,0.85,0.279,25,40,1,Pacers,Nate McMillan,Celtics,Brad Stevens
99,2/27/2022,22100915,2021,1610612766,126,0.506,0.676,0.419,25,46,1610612765,127,0.455,0.722,0.35,30,54,0,Hornets,James Borrego,Pistons,Dwane Casey
100,2/27/2022,22100916,2021,1610612745,98,0.38,0.611,0.405,26,37,1610612746,99,0.442,0.714,0.324,18,59,0,Rockets,Mike D'Antoni,Clippers,Doc Rivers
101,2/27/2022,22100917,2021,1610612744,101,0.429,0.6,0.282,27,44,1610612742,107,0.5,0.8,0.382,16,45,0,Warriors,Steve Kerr,Mavericks,Rick Carlisle
102,2/27/2022,22100918,2021,1610612757,92,0.374,0.692,0.167,22,42,1610612743,124,0.512,0.774,0.324,28,55,0,Trail Blazers,Terry Stotts,Nuggets,Michael Malone
103,2/27/2022,22100919,2021,1610612747,95,0.417,0.9,0.206,15,38,1610612740,123,0.511,0.64,0.433,29,51,0,Lakers,Frank Vogel,Pelicans,Alvin Gentry
104,2/26/2022,22100905,2021,1610612765,104,0.448,0.864,0.259,18,41,1610612738,113,0.477,0.905,0.385,31,37,0,Pistons,Dwane Casey,Celtics,Brad Stevens
105,2/26/2022,22100906,2021,1610612737,127,0.578,0.818,0.419,27,45,1610612761,100,0.4,0.737,0.313,25,42,1,Hawks,Lloyd Pierce,Raptors,Nick Nurse
106,2/26/2022,22100907,2021,1610612739,92,0.386,0.833,0.32,22,49,1610612764,86,0.432,0.833,0.478,19,42,1,Cavaliers,John Beilein,Wizards,Scott Brooks
