logiProb,poisProb,Obs,model
0.487722723,0.506065955,1,M6
0.674615374,0.64371936,1,M6
0.728842085,0.670585905,1,M6
0.678017957,0.634579055,1,M6
0.555963221,0.55658744,1,M6
0.407651804,0.431795401,0,M6
0.490536446,0.505314428,1,M6
0.551451032,0.542814358,0,M6
0.555384145,0.556006904,0,M6
0.408203723,0.430250034,0,M6
0.49179438,0.506465558,0,M6
0.549920246,0.544282652,1,M6
0.785364852,0.74113699,1,M6
0.727537156,0.670377189,1,M6
0.678160704,0.634954557,1,M6
0.673782211,0.642767755,1,M6
0.783658116,0.740271883,1,M6
0.727664891,0.67098217,0,M6
0.677852972,0.634445056,0,M6
0.712337487,0.64533695,1,M6
0.672689461,0.641763421,1,M6
0.838906152,0.793064716,1,M6
0.507365305,0.540002475,1,M6
0.650700144,0.576134286,1,M6
0.328483153,0.376386663,1,M6
0.388531446,0.429029799,0,M6
0.664803115,0.627394217,1,M6
0.713100384,0.645021342,1,M6
0.839376033,0.792235378,1,M6
0.803865062,0.7489147,1,M6
0.671637833,0.634490401,0,M6
0.578911199,0.587411183,1,M6
0.509229335,0.540512172,0,M6
0.580362578,0.558184736,0,M6
0.768096851,0.675603289,1,M6
0.651544844,0.576073695,1,M6
0.388148101,0.426599978,0,M6
0.327869391,0.377399562,1,M6
0.383147845,0.424355894,0,M6
0.580864639,0.558394736,1,M6
0.554793076,0.552063999,1,M6
0.506081512,0.539816796,1,M6
0.439656145,0.514327526,0,M6
0.383244952,0.42388958,0,M6
0.388700826,0.428496103,1,M6
0.651979293,0.577586534,1,M6
0.552670162,0.552636375,1,M6
0.440070083,0.516318636,1,M6
0.329464547,0.379334937,0,M6
0.716304013,0.645432219,0,M6
0.657342514,0.624358802,1,M6
0.803742349,0.748994544,1,M6
0.800846338,0.754275593,1,M6
0.578061354,0.586518506,1,M6
0.766767459,0.675103852,1,M6
0.83858292,0.789911895,1,M6
0.672660236,0.63501617,1,M6
0.713954619,0.644775988,1,M6
0.654814375,0.6247622,1,M6
0.80373409,0.74848406,0,M6
0.766337469,0.676197096,1,M6
0.838329642,0.788857063,0,M6
0.799582541,0.753711042,1,M6
0.672125136,0.633126248,0,M6
0.580625896,0.586198987,0,M6
0.702632246,0.572200478,1,M6
0.701012326,0.572368185,1,M6
0.527601998,0.585332851,1,M6
0.527357854,0.585351919,1,M6
0.52741274,0.584644596,0,M6
0.701316615,0.572819824,0,M6
0.700278297,0.573352858,1,M6
0.531907402,0.56409012,0,M6
0.489329515,0.500648768,1,M6
0.691617654,0.617483787,1,M6
0.728629923,0.670361454,1,M6
0.531508949,0.565833121,1,M6
0.490532185,0.499931192,0,M6
0.531017235,0.565789265,1,M6
0.48798319,0.499227771,1,M6
0.691347035,0.616689066,1,M6
0.730265714,0.670295399,0,M6
0.689425109,0.616250043,1,M6
0.730435556,0.67088141,0,M6
0.506911638,0.547609663,1,M6
0.718782281,0.639797309,0,M6
0.553745946,0.630399085,0,M6
0.481955515,0.469690022,0,M6
0.503216779,0.548253229,1,M6
0.595701273,0.629223076,0,M6
0.484754278,0.469975879,0,M6
0.553291446,0.630271607,0,M6
0.506049592,0.548079751,0,M6
0.596465061,0.628781673,0,M6
0.732184972,0.699199462,1,M6
0.628752348,0.5591202,1,M6
0.728362962,0.698378239,1,M6
0.675865157,0.563425127,1,M6
0.628112559,0.560410743,1,M6
0.718000122,0.639294738,0,M6
0.676001436,0.564829144,1,M6
0.739457901,0.681888641,1,M6
0.717635695,0.639668263,1,M6
0.476254752,0.500420238,0,M6
0.416699872,0.52273836,0,M6
0.622961073,0.634913693,1,M6
0.570606002,0.641961671,1,M6
0.573171261,0.590299871,0,M6
0.738839037,0.682552302,0,M6
0.606531671,0.54601221,1,M6
0.780365805,0.651219015,1,M6
0.654944087,0.543677535,1,M6
0.720895804,0.665638545,1,M6
0.815054794,0.767251337,1,M6
0.347790011,0.399254296,0,M6
0.475943307,0.50072738,1,M6
0.654854065,0.591117404,1,M6
0.501026936,0.503730404,1,M6
0.370272657,0.397946751,0,M6
0.573068388,0.642137154,1,M6
0.623444019,0.634577174,1,M6
0.474017916,0.500585964,1,M6
0.416468775,0.521763282,1,M6
0.573740784,0.589076356,1,M6
0.347537553,0.398116864,0,M6
0.573718234,0.642501401,1,M6
0.622240427,0.633543301,1,M6
0.500613592,0.503246083,0,M6
0.370372587,0.398575769,1,M6
0.416293939,0.522383671,1,M6
0.57528127,0.588843478,0,M6
0.825891654,0.760376074,1,M6
0.654138269,0.542299754,0,M6
0.651247377,0.592254328,1,M6
0.7819731,0.651725592,1,M6
0.719089496,0.665737503,1,M6
0.739149663,0.681463086,1,M6
0.813802002,0.767223573,1,M6
0.607606375,0.54714968,0,M6
0.781371489,0.651946613,1,M6
0.825430732,0.760141661,1,M6
0.653668915,0.542423179,1,M6
0.65101842,0.592045837,0,M6
0.71873239,0.666184383,1,M6
0.606327915,0.547225453,1,M6
0.738207809,0.681674899,1,M6
0.813078561,0.767193492,1,M6
0.564648431,0.629299431,0,M6
0.669208117,0.552978193,1,M6
0.668881417,0.552799221,1,M6
0.668693625,0.55325501,0,M6
0.565705848,0.629258417,0,M6
0.565210615,0.628976378,1,M6
0.668692005,0.594128876,0,M6
0.657385313,0.632239255,1,M6
0.564985288,0.589179783,1,M6
0.573995055,0.569542695,0,M6
0.564400655,0.588996435,1,M6
0.574398527,0.570424875,0,M6
0.656284332,0.628955837,0,M6
0.669700898,0.593833351,0,M6
0.655846325,0.628792527,1,M6
0.689503963,0.603023261,1,M6
0.667764262,0.592548481,1,M6
0.536851231,0.572377914,1,M6
0.432080068,0.405630982,0,M6
0.585135775,0.593926811,1,M6
0.688312637,0.604712928,1,M6
0.774949266,0.762462037,1,M6
0.653162029,0.587333724,0,M6
0.539483546,0.570553315,0,M6
0.431671826,0.405987073,1,M6
0.609081554,0.576575707,1,M6
0.538833502,0.570049718,1,M6
0.651497542,0.586727286,1,M6
0.43326489,0.406763384,0,M6
0.608281967,0.575764772,1,M6
0.773958201,0.762360862,1,M6
0.626241011,0.610590213,0,M6
0.585688932,0.595586221,1,M6
0.688152466,0.607029206,1,M6
0.774569682,0.762156787,0,M6
0.626383768,0.61102791,0,M6
0.585260448,0.595692462,1,M6
0.688961638,0.607618104,0,M6
0.473295662,0.528394383,1,M6
0.455359399,0.3568722,1,M6
0.434854027,0.453630621,0,M6
0.501026429,0.515793148,0,M6
0.788081099,0.728199477,1,M6
0.745609449,0.663735738,1,M6
0.6383031,0.557291188,1,M6
0.759130177,0.785642714,1,M6
0.833747854,0.778578997,1,M6
0.769465347,0.702256397,1,M6
0.593459019,0.633941616,1,M6
0.471678287,0.527835045,1,M6
0.72143007,0.645795592,1,M6
0.411424456,0.441502358,1,M6
0.38106642,0.438135921,0,M6
0.456699023,0.357452874,1,M6
0.435287862,0.452712702,1,M6
0.341105498,0.394460925,1,M6
0.502261368,0.516970868,1,M6
0.471176786,0.526202077,1,M6
0.593623679,0.634248994,0,M6
0.436579474,0.453061661,0,M6
0.455993939,0.356904255,1,M6
0.382499525,0.439497186,0,M6
0.341496936,0.395824741,0,M6
0.411484268,0.440920804,0,M6
0.501562755,0.51579159,1,M6
0.636796763,0.558483347,1,M6
0.746826502,0.666330327,1,M6
0.76835892,0.702859889,1,M6
0.809624497,0.744736279,1,M6
0.760029094,0.786270513,1,M6
0.720910353,0.646070693,1,M6
0.833601619,0.777735838,1,M6
0.787577045,0.729602951,1,M6
0.809630967,0.744158541,1,M6
0.636141747,0.558052656,1,M6
0.746993844,0.666152716,0,M6
0.768687154,0.703320126,0,M6
0.787367454,0.730081318,1,M6
0.760707502,0.786767767,0,M6
0.719948192,0.644869421,1,M6
0.833765604,0.777955673,1,M6
0.566413789,0.561848584,1,M6
0.565728492,0.560857623,1,M6
0.565009847,0.559669916,1,M6
0.667813928,0.62499774,0,M6
0.667072631,0.62561584,1,M6
